,Biochemical,Feature importance,super.pathway,sub.pathway
54,1-palmitoyl-GPC (16:0),0.4414007815739006,Lipid,Lysophospholipid
55,imidazole lactate,0.4404776090714565,Amino Acid,Histidine Metabolism
56,3-hydroxypropanoate,0.4391325476682112,Lipid,"Fatty Acid, Monohydroxy"
57,N-acetylphenylalanine,0.4343246237344327,Amino Acid,Phenylalanine Metabolism
58,erythronate*,0.4282253453061581,Carbohydrate,Aminosugar Metabolism
59,N-acetyl-beta-alanine,0.4279001540066032,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
60,kynurenate,0.4278185027589133,Amino Acid,Tryptophan Metabolism
61,gamma-glutamylphenylalanine,0.42384992827818335,Peptide,Gamma-glutamyl Amino Acid
62,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,0.42191271424904747,Lipid,Lysophospholipid
63,valine ion,0.4198187241845476,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
64,etiocholanolone glucuronide,0.4185881615378717,Lipid,Androgenic Steroids
65,quinate,0.4175802867493797,Xenobiotics,Food Component/Plant
66,pantothenate,0.41390796570569743,Cofactors and Vitamins,Pantothenate and CoA Metabolism
67,3-(methylthio)acetaminophen sulfate,0.4139058323116091,Xenobiotics,"Drug - Analgesics, Anesthetics"
68,"bradykinin, des-arg(9)",0.41038840006150057,Peptide,Polypeptide
69,2-oxoarginine*,0.4099078511009272,Amino Acid,Urea cycle; Arginine and Proline Metabolism
70,"3,4-methylene heptanoyl carnitine",0.4014410823505616,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
71,pro-hydroxy-pro,0.39715333323220975,Amino Acid,Urea cycle; Arginine and Proline Metabolism
72,"androstenediol (3alpha, 17alpha) monosulfate (3)",0.3950787573390815,Lipid,Androgenic Steroids
73,glutamine,0.3930869841320801,Amino Acid,Glutamate Metabolism
74,citrate,0.3865515396883716,Energy,TCA Cycle
75,guanidinoacetate,0.3849419967226989,Amino Acid,Creatine Metabolism
76,palmitoyl ethanolamide,0.3833516662457075,Lipid,Endocannabinoid
77,1-dihomo-linolenoyl-GPE (20:3n3 or 6)*,0.3778277091654445,Lipid,Lysophospholipid
78,cis-vaccenate (18:1n7),0.3766622531712908,Lipid,Long Chain Fatty Acid
79,uridine,0.3727780396413543,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
80,1-linoleoylglycerol (18:2),0.37092740657274,Lipid,Monoacylglycerol
81,1-palmitoylglycerol (16:0),0.37008486982862215,Lipid,Monoacylglycerol
82,methyl-4-hydroxybenzoate sulfate,0.368445793543878,Xenobiotics,Benzoate Metabolism
83,pyroglutamylleucine*,0.3664632237116129,Peptide,Modified Peptides
84,hippurate,0.35784922326079244,Xenobiotics,Benzoate Metabolism
85,propionylcarnitine (C3),0.35617063273184296,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
86,succinylcarnitine (C4-DC),0.3560812997695885,Energy,TCA Cycle
87,gluconate,0.3558165564679727,Xenobiotics,Food Component/Plant
88,4-guanidinobutanoate,0.35538365991200177,Amino Acid,Guanidino and Acetamido Metabolism
89,guaiacol sulfate,0.3522540760670514,Xenobiotics,Benzoate Metabolism
90,ornithine,0.3396460056007303,Amino Acid,Urea cycle; Arginine and Proline Metabolism
91,ribulose,0.3353695455488472,Carbohydrate,Pentose Metabolism
92,glycolate (hydroxyacetate),0.3336143188549281,Xenobiotics,Chemical
93,arabinose,0.3283017896183376,Carbohydrate,Pentose Metabolism
94,1-linoleoyl-GPI (18:2)*,0.3280660765225755,Lipid,Lysophospholipid
95,O-sulfo-L-tyrosine,0.3267758148446653,Xenobiotics,Chemical
96,androsterone glucuronide,0.32539078742234145,Lipid,Androgenic Steroids
97,palmitoyl sphingomyelin (d18:1/16:0),0.3235351126447553,Lipid,Sphingolipid Metabolism
98,3-hydroxyhippurate,0.32202360904798666,Xenobiotics,Benzoate Metabolism
99,4-ethylphenylsulfate,0.31590104562419463,Xenobiotics,Benzoate Metabolism
100,"bilirubin (Z,Z)",0.3158993234141109,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
101,cinnamoylglycine,0.3156877805910743,Xenobiotics,Food Component/Plant
102,N1-methylinosine,0.31039874829037123,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
103,N-trimethyl 5-aminovalerate,0.30871835279126697,Amino Acid,Lysine Metabolism
104,phenylacetylglutamine,0.30809209870713755,Peptide,Acetylated Peptides
105,3-hydroxybutyrate (BHBA),0.3072311212457137,Lipid,Ketone Bodies
106,andro steroid monosulfate C19H28O6S (1)*,0.3029999815799643,Lipid,Androgenic Steroids
107,2-hydroxydecanoate,0.3020209367355913,Lipid,"Fatty Acid, Monohydroxy"
108,arachidate (20:0),0.2990329382940794,Lipid,Long Chain Fatty Acid
109,glycylleucine,0.2978629976894956,Peptide,Dipeptide
110,hydroquinone sulfate,0.29211266087072296,Xenobiotics,Drug - Topical Agents
111,theanine,0.2915549101541677,Xenobiotics,Food Component/Plant
112,aspartate,0.291026864293911,Amino Acid,Alanine and Aspartate Metabolism
113,myo-inositol,0.2885069370283469,Lipid,Inositol Metabolism
114,2-aminooctanoate,0.2869476091090947,Lipid,"Fatty Acid, Amino"
115,homostachydrine*,0.2859230903740044,Xenobiotics,Food Component/Plant
116,4-acetamidophenylglucuronide,0.2846699106441559,Xenobiotics,"Drug - Analgesics, Anesthetics"
117,S-methylcysteine,0.2836839930969849,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
118,N-acetylglycine,0.27881336824105163,Amino Acid,"Glycine, Serine and Threonine Metabolism"
119,2-aminoadipate,0.2770488366987055,Amino Acid,Lysine Metabolism
120,octadecenedioate (C18:1-DC),0.2765628413657332,Lipid,"Fatty Acid, Dicarboxylate"
121,2-methylbutyrylcarnitine (C5),0.27486953297454464,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
122,5-acetylamino-6-amino-3-methyluracil,0.273603651247311,Xenobiotics,Xanthine Metabolism
123,lithocholic acid sulfate (1),0.2718554479852805,Lipid,Secondary Bile Acid Metabolism
124,16-hydroxypalmitate,0.2703986484048558,Lipid,"Fatty Acid, Monohydroxy"
125,pregnenediol disulfate (C21H34O8S2)*,0.2698277395987758,Lipid,Pregnenolone Steroids
126,"androstenediol (3beta,17beta) monosulfate (1)",0.2697183570018087,Lipid,Androgenic Steroids
127,phosphate,0.2664744768904371,Energy,Oxidative Phosphorylation
128,carnitine,0.2650988082129268,Lipid,Carnitine Metabolism
129,tiglylcarnitine (C5:1-DC),0.26483285187615285,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
130,glycerol 2-phosphate,0.263301615696785,Xenobiotics,Chemical
131,hexadecanedioate (C16-DC),0.26194773550536554,Lipid,"Fatty Acid, Dicarboxylate"
132,N-acetylglutamine,0.2598798468907508,Amino Acid,Glutamate Metabolism
133,glycerol 3-phosphate,0.25816977711286543,Lipid,Glycerolipid Metabolism
134,inositol 1-phosphate (I1P),0.2543882502479378,Lipid,Inositol Metabolism
135,N-formylmethionine,0.25432338418992523,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
136,1-oleoylglycerol (18:1),0.25346644274591545,Lipid,Monoacylglycerol
137,gamma-glutamylglutamine,0.250617331806165,Peptide,Gamma-glutamyl Amino Acid
138,2-piperidinone,0.2459066835461224,Xenobiotics,Food Component/Plant
139,2-aminoheptanoate,0.24351023934927996,Lipid,"Fatty Acid, Amino"
140,dihomo-linolenate (20:3n3 or n6),0.2429139936675833,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
141,gamma-glutamylalanine,0.2400451998140631,Peptide,Gamma-glutamyl Amino Acid
142,valylleucine,0.23976797432088906,Peptide,Dipeptide
143,taurine,0.23592860552835496,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
144,"5,6-dihydrouracil",0.2348716662873667,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
145,isovalerate (i5:0),0.2343264720831756,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
146,dodecanedioate (C12-DC),0.2319754431470876,Lipid,"Fatty Acid, Dicarboxylate"
147,3-methoxycatechol sulfate (1) or (2),0.23105015685386415,Xenobiotics,Benzoate Metabolism
148,stearoylcarnitine (C18),0.2275983883161594,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
149,threonine,0.2275518844757909,Amino Acid,"Glycine, Serine and Threonine Metabolism"
150,phenol sulfate,0.2274849299295043,Amino Acid,Tyrosine Metabolism
151,phenyllactate (PLA),0.2272734571255474,Amino Acid,Phenylalanine Metabolism
152,N-(2-furoyl)glycine,0.2258819069056594,Xenobiotics,Food Component/Plant
153,cytidine,0.22487908682093413,Nucleotide,"Pyrimidine Metabolism, Cytidine containing"
154,alpha-hydroxyisovalerate,0.22472856591397194,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
155,glycodeoxycholate sulfate,0.22469455715604675,Lipid,Secondary Bile Acid Metabolism
156,xylitol,0.22386124222958356,Carbohydrate,Pentose Metabolism
157,estrone 3-sulfate,0.22294059824596268,Lipid,Estrogenic Steroids
158,pregnenediol sulfate (C21H34O5S)*,0.218510508228368,Lipid,Pregnenolone Steroids
159,2-linolenoyl-GPC (18:3)*,0.21835939710482005,Lipid,Lysophospholipid
160,5-methylthioribose**,0.21792807911496556,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
161,ursodeoxycholate,0.21752655488482425,Lipid,Secondary Bile Acid Metabolism
162,7-methylguanine,0.21427007335282228,Nucleotide,"Purine Metabolism, Guanine containing"
163,fumarate,0.21354093994175266,Energy,TCA Cycle
164,ethanolamine,0.21237158531053504,Lipid,Phospholipid Metabolism
165,1-methylurate,0.2118696375458732,Xenobiotics,Xanthine Metabolism
166,docosadienoate (22:2n6),0.21119310233723687,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
167,10-undecenoate (11:1n1),0.2094810914005401,Lipid,Medium Chain Fatty Acid
168,1-docosapentaenoyl-GPC (22:5n6)*,0.2093307143147544,Lipid,Lysophospholipid
169,cysteine,0.2091574586570807,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
170,kynurenine,0.2088515340734544,Amino Acid,Tryptophan Metabolism
171,tauro-beta-muricholate,0.208831111818773,Lipid,Primary Bile Acid Metabolism
172,trans-4-hydroxyproline,0.20859655364373506,Amino Acid,Urea cycle; Arginine and Proline Metabolism
173,dopamine 3-O-sulfate,0.20673444669482552,Amino Acid,Tyrosine Metabolism
174,"5alpha-pregnan-3beta,20alpha-diol disulfate",0.20175434584968102,Lipid,Progestin Steroids
175,1-eicosapentaenoyl-GPC (20:5)*,0.19613250420711814,Lipid,Lysophospholipid
176,glutarylcarnitine (C5-DC),0.19521774479958326,Amino Acid,Lysine Metabolism
177,N1-Methyl-2-pyridone-5-carboxamide,0.19262588437947148,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
178,"palmitate, methyl ester",0.1917973421669781,Lipid,"Fatty Acid, Methyl Ester"
179,3-hydroxy-2-ethylpropionate,0.1900078519273755,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
180,octadecanedioate (C18-DC),0.18803588538877028,Lipid,"Fatty Acid, Dicarboxylate"
181,uracil,0.18707320365239352,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
182,vanillylmandelate (VMA),0.1861408119991824,Amino Acid,Tyrosine Metabolism
183,thioproline,0.1860676300724667,Xenobiotics,Chemical
184,"5,6-dihydrouridine",0.18568389142929928,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
185,tartarate,0.18359902941981027,Xenobiotics,Food Component/Plant
186,2-arachidonoyl-GPC (20:4)*,0.18319773350858135,Lipid,Lysophospholipid
187,hexadecadienoate (16:2n6),0.18257182300033464,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
188,biliverdin,0.18248398789708334,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
189,N-acetyltryptophan,0.18151644047876705,Amino Acid,Tryptophan Metabolism
190,"1,3-dimethylurate",0.18023349723440715,Xenobiotics,Xanthine Metabolism
191,perfluorooctanesulfonate (PFOS),0.18017286701136065,Xenobiotics,Chemical
192,3-hydroxybutyrylcarnitine (2),0.1795197600933811,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
193,4-allylphenol sulfate,0.17949720350648146,Xenobiotics,Food Component/Plant
194,proline,0.17911361720239566,Amino Acid,Urea cycle; Arginine and Proline Metabolism
195,salicyluric glucuronide*,0.17762730853432013,Xenobiotics,"Drug - Analgesics, Anesthetics"
196,creatinine,0.17748020357155253,Amino Acid,Creatine Metabolism
197,2-linoleoyl-GPE (18:2)*,0.1763607664953698,Lipid,Lysophospholipid
198,phenylalanylarginine,0.17623431400609066,Peptide,Dipeptide
199,2-hydroxyhippurate (salicylurate),0.17447556748367946,Xenobiotics,Benzoate Metabolism
200,pyrraline,0.1738251026432361,Xenobiotics,Food Component/Plant
201,N-delta-acetylornithine,0.1734699608898275,Amino Acid,Urea cycle; Arginine and Proline Metabolism
202,"N6,N6,N6-trimethyllysine",0.1705956650410301,Amino Acid,Lysine Metabolism
203,"1,3,7-trimethylurate",0.16940520830572378,Xenobiotics,Xanthine Metabolism
204,gamma-glutamylisoleucine*,0.16783691779023094,Peptide,Gamma-glutamyl Amino Acid
205,3-CMPFP**,0.1653757799981368,Lipid,"Fatty Acid, Dicarboxylate"
206,N-acetylarginine,0.16459259056908435,Amino Acid,Urea cycle; Arginine and Proline Metabolism
207,sulfate*,0.1635606746581855,Xenobiotics,Chemical
208,4-methylcatechol sulfate,0.16269167574728854,Xenobiotics,Benzoate Metabolism
209,betaine,0.16259043142483026,Amino Acid,"Glycine, Serine and Threonine Metabolism"
210,cholate,0.16028414371146088,Lipid,Primary Bile Acid Metabolism
211,acetoacetate,0.1589747877836097,Lipid,Ketone Bodies
212,"adenosine 3',5'-cyclic monophosphate (cAMP)",0.15852541765219622,Nucleotide,"Purine Metabolism, Adenine containing"
213,asparagine,0.15698346100724364,Amino Acid,Alanine and Aspartate Metabolism
214,butyrylcarnitine (C4),0.15626601581032812,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
215,glycerophosphorylcholine (GPC),0.15624034895387384,Lipid,Phospholipid Metabolism
216,N1-methyl-4-pyridone-3-carboxamide,0.1560283957766183,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
217,trigonelline (N'-methylnicotinate),0.15575824268276062,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
218,threitol,0.15554862970204772,Carbohydrate,Pentose Metabolism
219,sulfamethoxazole,0.1551628461389936,Xenobiotics,Drug - Antibiotic
220,thymol sulfate,0.15068619177486128,Xenobiotics,Food Component/Plant
221,"androstenediol (3beta,17beta) disulfate (1)",0.14938776675867696,Lipid,Androgenic Steroids
222,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",0.14653009162167682,Lipid,Androgenic Steroids
223,urea,0.14410548421612807,Amino Acid,Urea cycle; Arginine and Proline Metabolism
224,tartronate (hydroxymalonate),0.1425441528744756,Xenobiotics,Bacterial/Fungal
225,allantoin,0.14181206315215827,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
226,2-ethylhexanoate,0.1407795145814935,Xenobiotics,Chemical
227,taurocholenate sulfate,0.1404683314209377,Lipid,Secondary Bile Acid Metabolism
228,lysine,0.1403860271430044,Amino Acid,Lysine Metabolism
229,alpha-ketoglutarate,0.1379429386810088,Energy,TCA Cycle
230,3-methylglutarylcarnitine (1),0.1370947261365542,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
231,Fibrinopeptide A*,0.1369410931651145,Peptide,Fibrinogen Cleavage Peptide
232,N-acetylaspartate (NAA),0.13686203763422322,Amino Acid,Alanine and Aspartate Metabolism
233,"1,2-propanediol",0.13668522680017708,Xenobiotics,Chemical
234,2-palmitoyl-GPE (16:0)*,0.1346261655244421,Lipid,Lysophospholipid
235,2-arachidonoyl-GPE (20:4)*,0.13307822296488478,Lipid,Lysophospholipid
236,1-palmitoleoyl-GPC (16:1)*,0.13133828297887518,Lipid,Lysophospholipid
237,1-arachidoyl-GPC (20:0),0.13126135180268642,Lipid,Lysophospholipid
238,2-aminobutyrate,0.1312489632200006,Amino Acid,Glutathione Metabolism
239,dimethylarginine (SDMA + ADMA),0.13092459520840402,Amino Acid,Urea cycle; Arginine and Proline Metabolism
240,gamma-CEHC,0.12851394548769834,Cofactors and Vitamins,Tocopherol Metabolism
241,deoxycarnitine,0.12825588572341193,Lipid,Carnitine Metabolism
242,cyclo(phe-pro),0.1277610963474633,Peptide,Dipeptide
243,3-methyl-2-oxovalerate,0.12715373168416844,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
244,tyrosine,0.12701696345937352,Amino Acid,Tyrosine Metabolism
245,N-oleoyltaurine,0.12503472162263393,Lipid,Endocannabinoid
246,5-methyluridine (ribothymidine),0.1246428018941957,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
247,hexanoylcarnitine (C6),0.1240911474550454,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
248,pipecolate,0.12391650755114475,Amino Acid,Lysine Metabolism
249,1-stearoyl-GPE (18:0),0.12389417827780334,Lipid,Lysophospholipid
250,3-methyl-2-oxobutyrate,0.12156729884673773,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
251,N-methylproline,0.12136213874431614,Amino Acid,Urea cycle; Arginine and Proline Metabolism
252,6-bromotryptophan,0.1184726577931367,Amino Acid,Tryptophan Metabolism
253,3-methoxytyrosine,0.11812365105757378,Amino Acid,Tyrosine Metabolism
254,glycoursodeoxycholate,0.11803965117851872,Lipid,Secondary Bile Acid Metabolism
255,eicosapentaenoate (EPA; 20:5n3),0.1178228485367012,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
256,2-docosahexaenoyl-GPE (22:6)*,0.11779301442467173,Lipid,Lysophospholipid
257,pyroglutamylglutamine,0.117181647514121,Peptide,Modified Peptides
258,methyl glucopyranoside (alpha + beta),0.11705075245884693,Xenobiotics,Food Component/Plant
259,C-glycosyltryptophan,0.11670070925753905,Amino Acid,Tryptophan Metabolism
260,N-acetyl-2-aminooctanoate,0.11649550850819106,Lipid,"Fatty Acid, Amino"
261,linoleoylcarnitine (C18:2)*,0.1162056667712257,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
262,linolenate [alpha or gamma; (18:3n3 or 6)],0.1158299404722244,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
263,1-margaroyl-GPC (17:0),0.11524222984265453,Lipid,Lysophospholipid
264,1-palmitoyl-GPG (16:0)*,0.1143598227828321,Lipid,Lysophospholipid
265,threonate,0.1135910409694992,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
266,hydroxy-CMPF*,0.1124163001081011,Lipid,"Fatty Acid, Dicarboxylate"
267,oleate (18:1n9),0.11206243908264672,Lipid,Long Chain Fatty Acid
268,1-stearoyl-GPC (18:0),0.11191409683774477,Lipid,Lysophospholipid
269,2-hydroxybutyrate (AHB),0.11171353594447088,Amino Acid,Glutathione Metabolism
270,leucine,0.1103947479415318,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
271,L-urobilin,0.1098824356032386,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
272,hydroxycotinine,0.1097856065502428,Xenobiotics,Tobacco Metabolite
273,heme,0.10951535611617133,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
274,1-docosahexaenoyl-GPE (22:6)*,0.10814168919320004,Lipid,Lysophospholipid
275,N-methylpipecolate,0.10813672692689824,Xenobiotics,Bacterial/Fungal
276,4-imidazoleacetate,0.10802619264668843,Amino Acid,Histidine Metabolism
277,HWESASXX*,0.10762572096407287,Peptide,Polypeptide
278,N1-methylguanosine,0.10749140527524158,Nucleotide,"Purine Metabolism, Guanine containing"
279,1-oleoyl-GPI (18:1)*,0.10572588897931863,Lipid,Lysophospholipid
280,2-myristoyl-GPC (14:0)*,0.10469527049690004,Lipid,Lysophospholipid
281,7-methylxanthine,0.10442560211518803,Xenobiotics,Xanthine Metabolism
282,tryptophan betaine,0.10347626389410776,Amino Acid,Tryptophan Metabolism
283,isobutyrylglycine,0.10248343046018832,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
284,allo-isoleucine,0.10126314720229088,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
285,3-(N-acetyl-L-cystein-S-yl) acetaminophen,0.10103561312266528,Xenobiotics,"Drug - Analgesics, Anesthetics"
286,sorbitol,0.10080045973817027,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
287,succinate,0.10077547080896976,Energy,TCA Cycle
288,arachidonate (20:4n6),0.10056677268029557,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
289,N6-succinyladenosine,0.09951093035354336,Nucleotide,"Purine Metabolism, Adenine containing"
290,benzoate,0.0985675806829097,Xenobiotics,Benzoate Metabolism
291,N-acetylalliin,0.098506450846891,Xenobiotics,Food Component/Plant
292,xylose,0.0982150642829788,Carbohydrate,Pentose Metabolism
293,N-acetylmethionine,0.09811428701945753,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
294,myristate (14:0),0.09810856611852947,Lipid,Long Chain Fatty Acid
295,oleoylcarnitine (C18:1),0.09800976085337433,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
296,docosapentaenoate (n6 DPA; 22:5n6),0.09753998496558458,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
297,methyl indole-3-acetate,0.09707199163385916,Xenobiotics,Food Component/Plant
298,phenylalanylleucine,0.09694997876147156,Peptide,Dipeptide
299,5-dodecenoylcarnitine,0.09667467928855604,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
300,glycodeoxycholate,0.0961949295470811,Lipid,Secondary Bile Acid Metabolism
301,taurolithocholate 3-sulfate,0.0951517451007024,Lipid,Secondary Bile Acid Metabolism
302,1-oleoyl-GPG (18:1)*,0.09508557047377512,Lipid,Lysophospholipid
303,indolepropionylglycine,0.09497205712124657,Amino Acid,Tryptophan Metabolism
304,glycerol,0.09489133634280786,Lipid,Glycerolipid Metabolism
305,beta-alanine,0.09462963483994602,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
306,indolepropionate,0.09442769027016884,Amino Acid,Tryptophan Metabolism
307,paraxanthine,0.0943969786401699,Xenobiotics,Xanthine Metabolism
308,sphingosine,0.09376086976857766,Lipid,Sphingolipid Metabolism
309,N-acetyl-aspartyl-glutamate (NAAG),0.09276376435991786,Amino Acid,Glutamate Metabolism
310,2-hydroxyglutarate,0.09263213475159204,Lipid,"Fatty Acid, Dicarboxylate"
311,erythritol,0.09254105341404513,Xenobiotics,Food Component/Plant
312,glucose,0.09249845459878417,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
313,4-vinylguaiacol sulfate,0.09208005385501727,Xenobiotics,Food Component/Plant
314,glyco-beta-muricholate**,0.09199178656101434,Lipid,Primary Bile Acid Metabolism
315,4-acetaminophen sulfate,0.09188835134094607,Xenobiotics,"Drug - Analgesics, Anesthetics"
